link_id,post_type_key,keyword,anchor_text,anchor_variants,target_url,link_role,category,priority,active,usage_context,city,service_tags,event_context_tags,event_tags,language,notes
wp_post_2948,*,Amaretto Sour,Amaretto Sour,,https://staging.flairlab.de/amaretto-sour/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2948
wp_post_2790,*,Aperol Sour,Aperol Sour,,https://staging.flairlab.de/aperol-sour/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2790
wp_post_2724,*,Aperol Spritz,Aperol Spritz,,https://staging.flairlab.de/aperol-spritz/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2724
wp_post_2794,*,Apple Martini,Apple Martini,,https://staging.flairlab.de/apple-martini/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2794
wp_post_2840,*,Apple Pie,Apple Pie,,https://staging.flairlab.de/apple-pie/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2840
wp_post_2853,*,Atlantic Fog,Atlantic Fog,,https://staging.flairlab.de/atlantic-fog/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2853
wp_post_2727,*,Bloody Mary,Bloody Mary,,https://staging.flairlab.de/bloody-mary/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2727
wp_post_2857,*,Blue Electric,Blue Electric,,https://staging.flairlab.de/blue-electric/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2857
wp_post_2733,*,Caipirinha,Caipirinha,,https://staging.flairlab.de/caipirinha/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2733
wp_post_2823,*,Coconut Kiss,Coconut Kiss,,https://staging.flairlab.de/coconut-kiss/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2823
wp_post_2796,*,Cosmopolitan,Cosmopolitan,,https://staging.flairlab.de/cosmopolitan/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2796
wp_post_2729,*,Cuba Libre,Cuba Libre,,https://staging.flairlab.de/cuba-libre/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2729
wp_post_2798,*,Daiquiri,Daiquiri,,https://staging.flairlab.de/daiquiri/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2798
wp_post_2735,*,Dark & Stormy,Dark & Stormy,dark stormy,https://staging.flairlab.de/dark-stormy/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2735
wp_post_2825,*,Evergreen,Evergreen,,https://staging.flairlab.de/evergreen/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2825
wp_post_2719,*,French 75,French 75,french,https://staging.flairlab.de/french-75/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2719
wp_post_2827,*,French Lemonade,French Lemonade,,https://staging.flairlab.de/french-lemonade/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2827
wp_post_2829,*,Fruit Punch,Fruit Punch,,https://staging.flairlab.de/fruit-punch/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2829
wp_post_2800,*,Gimlet,Gimlet,,https://staging.flairlab.de/gimlet/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2800
